AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
14519,Neko Ramen: Ore no Shouyu Aji,Comedy,ONA,13,6.0,425,Unknown,2008
14743,Nara Shika Monogatari,Comedy,ONA,1,5.4,392,Unknown,2004
15021,Yuki no Taiyou Pilot,"Drama, Shoujo",Special,1,5.4,2392,Studio Ghibli,1972
15455,Sakura,Fantasy,Movie,1,5.32,788,Unknown,1946
15607,Ai no Wakakusa Monogatari Specials,"Drama, Historical, Slice of Life",Special,2,6.35,541,Nippon Animation,2001
16506,San Ge Heshang,Music,Movie,1,5.88,386,Unknown,1980
16702,Doraemon: Nobita to Mirai Note,"Kids, Adventure, Fantasy, Sci-Fi, Shounen",OVA,1,6.18,737,Shin-Ei Animation,1994
16786,Bulsajo Robot Phoenix King,"Action, Space, Mecha, Shounen",Movie,1,4.9,408,Unknown,1984
16794,Computer Haekjeonham Pokpa Daejakjeon,"Action, Sci-Fi, Shounen",Movie,1,5.17,371,Unknown,1983
16802,Golden Batman,"Action, Kids",Movie,1,4.51,946,Unknown,1979
16812,77Danui Bimil,"Action, Drama",Movie,1,5.23,378,Unknown,1978
17048,Choujin Locke Special,"Action, Sci-Fi, Super Power",Special,1,5.34,410,Unknown,1979
17159,Peeping Life Specials,"Comedy, Slice of Life",Special,2,5.21,466,Unknown,2009
17379,Street Fighter II: Yomigaeru Fujiwara-Kyou - Toki wo Kaketa Fighter-tachi,"Action, Martial Arts, Historical, Shounen",OVA,1,6.07,1489,Unknown,1995
17787,Ouritsu Uchuugun: Honneamise no Tsubasa Pilot,"Sci-Fi, Seinen",Special,1,5.99,1537,Gainax,1985
18197,Nudl Nude,"Parody, Comedy, Hentai",OVA,1,5.21,539,Unknown,1998
18199,Nudl Nude 2,"Parody, Comedy, Hentai",OVA,1,4.96,454,Unknown,1999
18463,Sign,"Music, Sci-Fi",Music,1,4.77,370,Unknown,2001
18561,Mahou no Hiroba,"Music, Fantasy",Music,1,4.43,377,Unknown,2001
19009,DS Anime Soushuuhen '98,"Comedy, Fantasy",OVA,1,6.35,467,Unknown,1998
19209,Devour Dinner,"Dementia, Fantasy",Movie,1,5.44,400,Unknown,2008
19213,Lost Utopia,"Action, Fantasy, Supernatural, Music, Seinen",Movie,1,4.77,983,Mirai Film,2007
19217,And And,Music,Music,1,5.44,875,Unknown,2011
19219,Modern No.2,Dementia,Movie,1,5.45,780,Unknown,2011
19231,Jam,"Music, Dementia, Fantasy",Music,1,4.83,708,Unknown,2009
19233,Around,Slice of Life,Movie,1,5.73,969,Unknown,2007
19235,"Dance, Dance, Dance","Fantasy, Music",Music,1,5.82,716,Unknown,2012
19237,Nimrod,"Fantasy, Music",Music,1,5.7,597,Unknown,2011
19239,Old City Ward,"Fantasy, Music",Music,1,5.6,533,Unknown,2010
19279,Pony Metal U-GAIM Promotion Film,"Action, Mecha, Music, Parody, Sci-Fi",Special,1,5.55,766,Unknown,1986
19401,Kuusou no Sora Tobu Kikaitachi,Historical,Movie,1,6.13,1580,Studio Ghibli,2002
20153,Hana no Hi,"Comedy, Dementia",Movie,1,4.91,522,Unknown,2005
20463,Little Nemo Pilot (1987),Adventure,Special,1,5.86,698,TMS Entertainment,1987
21163,Oni no Ko to Yuki Usagi,"Demons, Kids, Fantasy",Movie,1,6.12,343,Unknown,1995
21891,Natsumi Step!,Music,Music,1,5.22,299,Unknown,2003
22157,Yasashii Kinyoubi,Dementia,Movie,1,4.08,873,Unknown,1975
22159,"Yami no Kioku, Yume no Inei",Dementia,Movie,1,4.82,368,Unknown,2000
22161,Scrap Diary,Dementia,Movie,1,3.32,1234,Unknown,2002
